Unnamed: 0,day,day compound avg,day positive avg,day negative avg,day neutral avg,two day neutral avg,two day positive avg,two day negative avg,two day compound avg,two day abc-news compound avg,two day reuters compound avg,two day the-new-york-times compound avg,two day business-insider compound avg,two day techcrunch compound avg,two day wired compound avg,two day abc-news neg avg,two day reuters neg avg,two day the-new-york-times neg avg,two day business-insider neg avg,two day techcrunch neg avg,two day wired neg avg,two day abc-news pos avg,two day reuters pos avg,two day the-new-york-times pos avg,two day business-insider pos avg,two day techcrunch pos avg,two day wired pos avg,two day abc-news neu avg,two day reuters neu avg,two day the-new-york-times neu avg,two day business-insider neu avg,two day techcrunch neu avg,two day wired neu avg,one day abc-news compound avg,one day reuters compound avg,one day the-new-york-times compound avg,one day business-insider compound avg,one day techcrunch compound avg,one day wired compound avg,one day abc-news neg avg,one day reuters neg avg,one day the-new-york-times neg avg,one day business-insider neg avg,one day techcrunch neg avg,one day wired neg avg,one day abc-news pos avg,one day reuters pos avg,one day the-new-york-times pos avg,one day business-insider pos avg,one day techcrunch pos avg,one day wired pos avg,one day abc-news neu avg,one day reuters neu avg,one day the-new-york-times neu avg,one day business-insider neu avg,one day techcrunch neu avg,one day wired neu avg
2018-08-30 10:00:00,2018-08-30,0.8955202551020409,0.11650374149659866,0.04552721088435374,0.8379715986394558,0.8082,0.14379999999999998,0.048,0.9655400000000001,0.9138,-0.25,0.994775,0.9913000000000001,0.9656500000000001,0.9963,0.073,0.040999999999999995,0.04175,0.052500000000000005,0.031,0.035500000000000004,0.096,0.036000000000000004,0.09875,0.1895,0.122,0.1075,0.83,0.9229999999999999,0.8592500000000001,0.7585,0.847,0.857,0.95365,-0.25,0.9939166666666667,0.8865107142857143,0.9221750000000001,0.9963,0.055999999999999994,0.040999999999999995,0.043833333333333335,0.04446428571428572,0.028,0.035500000000000004,0.0935,0.036000000000000004,0.09500000000000001,0.12646428571428572,0.10275000000000001,0.1075,0.85,0.9229999999999999,0.8608333333333333,0.8292142857142857,0.86925,0.857
2018-08-30 09:30:00,2018-08-30,0.8955202551020409,0.11650374149659866,0.04552721088435374,0.8379715986394558,0.8082,0.14379999999999998,0.048,0.9655400000000001,0.9138,-0.25,0.994775,0.9913000000000001,0.9656500000000001,0.9963,0.073,0.040999999999999995,0.04175,0.052500000000000005,0.031,0.035500000000000004,0.096,0.036000000000000004,0.09875,0.1895,0.122,0.1075,0.83,0.9229999999999999,0.8592500000000001,0.7585,0.847,0.857,0.95365,-0.25,0.9939166666666667,0.8865107142857143,0.9221750000000001,0.9963,0.055999999999999994,0.040999999999999995,0.043833333333333335,0.04446428571428572,0.028,0.035500000000000004,0.0935,0.036000000000000004,0.09500000000000001,0.12646428571428572,0.10275000000000001,0.1075,0.85,0.9229999999999999,0.8608333333333333,0.8292142857142857,0.86925,0.857
2018-08-29 15:30:00,2018-08-29,0.95665,0.16899999999999998,0.066,0.7645,0.8423333333333334,0.1118333333333333,0.045500000000000006,0.94175,0.95365,-0.25,0.9989,0.9147666666666666,0.8787,0.9963,0.055999999999999994,0.040999999999999995,0.052000000000000005,0.036333333333333336,0.025,0.035500000000000004,0.0935,0.036000000000000004,0.084,0.13333333333333333,0.0835,0.1075,0.85,0.9229999999999999,0.863,0.8303333333333334,0.8915,0.857,0.9138,-0.25,0.9939166666666667,0.9995,0.8787,0.9963,0.073,0.040999999999999995,0.043833333333333335,0.059000000000000004,0.025,0.035500000000000004,0.096,0.036000000000000004,0.09500000000000001,0.242,0.0835,0.1075,0.83,0.9229999999999999,0.8608333333333333,0.6990000000000001,0.8915,0.857
2018-08-29 15:00:00,2018-08-29,0.95665,0.16899999999999998,0.066,0.7645,0.8423333333333334,0.1118333333333333,0.045500000000000006,0.94175,0.95365,-0.25,0.9989,0.9147666666666666,0.8787,0.9963,0.055999999999999994,0.040999999999999995,0.052000000000000005,0.036333333333333336,0.025,0.035500000000000004,0.0935,0.036000000000000004,0.084,0.13333333333333333,0.0835,0.1075,0.85,0.9229999999999999,0.863,0.8303333333333334,0.8915,0.857,0.9138,-0.25,0.9939166666666667,0.9995,0.8787,0.9963,0.073,0.040999999999999995,0.043833333333333335,0.059000000000000004,0.025,0.035500000000000004,0.096,0.036000000000000004,0.09500000000000001,0.242,0.0835,0.1075,0.83,0.9229999999999999,0.8608333333333333,0.6990000000000001,0.8915,0.857
2018-08-29 14:30:00,2018-08-29,0.9995,0.242,0.059000000000000004,0.6990000000000001,0.8448,0.11499999999999999,0.04,0.94734,0.9935,-0.25,0.9989,0.9147666666666666,0.8787,0.9963,0.039,0.040999999999999995,0.052000000000000005,0.036333333333333336,0.025,0.035500000000000004,0.091,0.036000000000000004,0.084,0.13333333333333333,0.0835,0.1075,0.87,0.9229999999999999,0.863,0.8303333333333334,0.8915,0.857,0.9935,-0.25,0.9939166666666667,0.9995,0.8787,0.9963,0.039,0.040999999999999995,0.043833333333333335,0.059000000000000004,0.025,0.035500000000000004,0.091,0.036000000000000004,0.09500000000000001,0.242,0.0835,0.1075,0.87,0.9229999999999999,0.8608333333333333,0.6990000000000001,0.8915,0.857
2018-08-29 14:00:00,2018-08-29,0.9995,0.242,0.059000000000000004,0.6990000000000001,0.8448,0.11499999999999999,0.04,0.94734,0.9935,-0.25,0.9989,0.9147666666666666,0.8787,0.9963,0.039,0.040999999999999995,0.052000000000000005,0.036333333333333336,0.025,0.035500000000000004,0.091,0.036000000000000004,0.084,0.13333333333333333,0.0835,0.1075,0.87,0.9229999999999999,0.863,0.8303333333333334,0.8915,0.857,0.9935,-0.25,0.9939166666666667,0.9995,0.8787,0.9963,0.039,0.040999999999999995,0.043833333333333335,0.059000000000000004,0.025,0.035500000000000004,0.091,0.036000000000000004,0.09500000000000001,0.242,0.0835,0.1075,0.87,0.9229999999999999,0.8608333333333333,0.6990000000000001,0.8915,0.857
2018-08-29 13:30:00,2018-08-29,0.9995,0.242,0.059000000000000004,0.6990000000000001,0.8448,0.11499999999999999,0.04,0.94734,0.9935,-0.25,0.9989,0.9147666666666666,0.8787,0.9963,0.039,0.040999999999999995,0.052000000000000005,0.036333333333333336,0.025,0.035500000000000004,0.091,0.036000000000000004,0.084,0.13333333333333333,0.0835,0.1075,0.87,0.9229999999999999,0.863,0.8303333333333334,0.8915,0.857,0.9935,-0.25,0.9939166666666667,0.9995,0.8787,0.9963,0.039,0.040999999999999995,0.043833333333333335,0.059000000000000004,0.025,0.035500000000000004,0.091,0.036000000000000004,0.09500000000000001,0.242,0.0835,0.1075,0.87,0.9229999999999999,0.8608333333333333,0.6990000000000001,0.8915,0.857
2018-08-29 13:00:00,2018-08-29,0.8838502976190478,0.11195436507936508,0.045115079365079365,0.8429335317460317,0.88125,0.08325,0.035250000000000004,0.9343,0.9935,-0.25,0.9989,0.8724000000000001,0.8787,0.9963,0.039,0.040999999999999995,0.052000000000000005,0.025,0.025,0.035500000000000004,0.091,0.036000000000000004,0.084,0.07900000000000001,0.0835,0.1075,0.87,0.9229999999999999,0.863,0.896,0.8915,0.857,0.9935,-0.25,0.9939166666666667,0.8690458333333333,0.8787,0.9963,0.039,0.040999999999999995,0.043833333333333335,0.043125000000000004,0.025,0.035500000000000004,0.091,0.036000000000000004,0.09500000000000001,0.11595833333333334,0.0835,0.1075,0.87,0.9229999999999999,0.8608333333333333,0.8410000000000001,0.8915,0.857
2018-08-29 12:30:00,2018-08-29,0.8838502976190478,0.11195436507936508,0.045115079365079365,0.8429335317460317,0.88125,0.08325,0.035250000000000004,0.9343,0.9935,-0.25,0.9989,0.8724000000000001,0.8787,0.9963,0.039,0.040999999999999995,0.052000000000000005,0.025,0.025,0.035500000000000004,0.091,0.036000000000000004,0.084,0.07900000000000001,0.0835,0.1075,0.87,0.9229999999999999,0.863,0.896,0.8915,0.857,0.9935,-0.25,0.9939166666666667,0.8690458333333333,0.8787,0.9963,0.039,0.040999999999999995,0.043833333333333335,0.043125000000000004,0.025,0.035500000000000004,0.091,0.036000000000000004,0.09500000000000001,0.11595833333333334,0.0835,0.1075,0.87,0.9229999999999999,0.8608333333333333,0.8410000000000001,0.8915,0.857
2018-08-29 12:00:00,2018-08-29,0.8838502976190478,0.11195436507936508,0.045115079365079365,0.8429335317460317,0.88125,0.08325,0.035250000000000004,0.9343,0.9935,-0.25,0.9989,0.8724000000000001,0.8787,0.9963,0.039,0.040999999999999995,0.052000000000000005,0.025,0.025,0.035500000000000004,0.091,0.036000000000000004,0.084,0.07900000000000001,0.0835,0.1075,0.87,0.9229999999999999,0.863,0.896,0.8915,0.857,0.9935,-0.25,0.9939166666666667,0.8690458333333333,0.8787,0.9963,0.039,0.040999999999999995,0.043833333333333335,0.043125000000000004,0.025,0.035500000000000004,0.091,0.036000000000000004,0.09500000000000001,0.11595833333333334,0.0835,0.1075,0.87,0.9229999999999999,0.8608333333333333,0.8410000000000001,0.8915,0.857
